@relation 'allData-weka.filters.unsupervised.attribute.Remove-R1-3,7,9-23,25-28-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 2 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 4 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10'

@attribute Unemployment_rate_2015 numeric
@attribute Median_Household_Income_2015 numeric
@attribute poverty_rate numeric
@attribute college_rate numeric
@attribute crime_rate_per_100000 numeric
@attribute cluster {cluster1,cluster2,cluster3,cluster4}

@data
0.333333,0.229171,0.41623,0.826923,0.216854,cluster4
0.117117,0.389269,0.230366,0.546703,0.18768,cluster3
0.153153,0.166718,0.442408,0.607143,0.09957,cluster1
0.085586,0.428791,0.146597,0.552198,0.166289,cluster3
0.103604,0.266654,0.198953,0.524725,0.109832,cluster1
0.013514,0.121459,0.363874,0.692308,0.075779,cluster4
0.099099,0.133351,0.701571,0.365385,0.137351,cluster2
0.063063,0.480535,0.225131,0.304945,0.094312,cluster3
0.067568,0.617964,0.034031,0.486264,0.02815,cluster3
0.072072,0.272343,0.170157,0.519231,0.030148,cluster3
0.040541,0.269169,0.164921,0.645604,0.059052,cluster4
0.085586,0.430732,0.136126,0.601648,0.148299,cluster3
0.175676,0.137934,0.342932,0.576923,0.020226,cluster1
0.211712,0.049026,0.505236,0.527473,0.095174,cluster2
0.121622,0.121459,0.803665,0.598901,0.11534,cluster2
0.076577,0.204852,0.243455,0.766484,0.065115,cluster4
0.175676,0.191173,0.264398,0.549451,0.058581,cluster1
0.085586,0.339708,0.311518,0.332418,0.334309,cluster1
0.063063,0.212949,0.23822,0.524725,0.027503,cluster1
0.058559,0.844922,0.005236,0.461538,0.046326,cluster3
0.063063,0.507708,0.086387,0.35989,0.095736,cluster3
0.063063,0.654098,0.052356,0.739011,0.025864,cluster3
0.126126,0.360717,0.193717,0.700549,0.211529,cluster4
0.198198,0.185164,0.290576,0.574176,0.141759,cluster1
0.108108,0.403792,0.151832,0.513736,0.06817,cluster3
0.058559,0.431965,0.094241,0.766484,0.199263,cluster4
0.063063,0.359115,0.099476,0.57967,0.019527,cluster3
0.054054,0.240035,0.185864,0.335165,0.172733,cluster1
0.04955,0.346766,0.151832,0.598901,0,cluster3
0.265766,0.099062,0.408377,0.629121,0.231124,cluster1
0.085586,0.233103,0.212042,0.456044,0.081764,cluster1
0.076577,0.46905,0.117801,0.541209,0.126211,cluster3
0.036036,0.186533,0.212042,0.68956,0.078431,cluster4
0.027027,0.205774,0.175393,0.557692,0.159697,cluster4
0.094595,0.223472,0.256545,0.486264,0.091657,cluster1
0.076577,0.367338,0.128272,0.563187,0.101587,cluster3
0.067568,0.408141,0.222513,0.568681,0.125916,cluster3
0.171171,0.154981,0.324607,0.758242,0.069533,cluster4
0.072072,0.197018,0.335079,0.302198,0.102769,cluster1
0.058559,0.227288,0.256545,0.777473,0.114342,cluster4
